,CRUDE_PETRO,CRUDE_BRENT,CRUDE_DUBAI,CRUDE_WTI,COAL_AUS,COAL_SAFRICA,NGAS_US,NGAS_EUR,NGAS_JP,iNATGAS,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_AVG,TEA_COLOMBO,TEA_KOLKATA,TEA_MOMBASA,COCONUT_OIL,GRNUT,FISH_MEAL,GRNUT_OIL,PALM_OIL,PLMKRNL_OIL,SOYBEANS,SOYBEAN_OIL,SOYBEAN_MEAL,BARLEY,MAIZE,SORGHUM,RICE_05,RICE_25,RICE_A1,RICE_05_VNM,WHEAT_US_SRW,WHEAT_US_HRW,BANANA_EU,BANANA_US,ORANGE,BEEF,CHICKEN,LAMB,SHRIMP_MEX,SUGAR_EU,SUGAR_US,SUGAR_WLD,TOBAC_US,LOGS_CMR,LOGS_MYS,SAWNWD_CMR,SAWNWD_MYS,PLYWOOD,COTTON_A_INDX,RUBBER_TSR20,RUBBER1_MYSG,PHOSROCK,DAP,TSP,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,Tin,NICKEL,Zinc,GOLD,PLATINUM,SILVER
1960,1.630000114,..,1.630000114,..,..,..,0.14,0.404773996,..,3.624356619,0.589016667,0.923516667,0.695945733,1.0297,0.9303009,1.121401,1.0374,312.3333333,..,..,327,224.4166667,..,91.83333333,223.9166667,81.00833333,20.15369739,44.5,36.575,107.3491667,..,..,..,..,57.99333333,..,0.1428675,0.129983333,0.736533333,0.300130233,..,1.605698233,0.12235641,0.125847058,0.066208333,1736.87,..,31.94,..,149.1749784,..,0.654541667,..,0.780233333,13,1.00E-10,53,42.25,28.5,511.4718323,11.42,678.7558333,198.85,2196.733333,1631,246.1916667,35.27,83.5,0.9137
1961,1.57,..,1.57,..,..,..,0.15,0.404773996,..,3.745790349,0.478558333,0.895541667,0.669435808,0.9518,0.8925009,0.978601,0.9841996,253.4166667,..,..,330.25,228.4166667,..,109.3333333,287.3333333,96.90833333,20.74803977,44.95666667,41.41666667,118.95,..,..,..,..,58.60583333,..,0.134921667,0.133008333,0.68195,0.312279456,..,1.693883033,0.124340568,0.12566334,0.05945,1563.19,..,33.06,..,151.9772808,..,0.672183333,..,0.601308333,13,1.00E-10,52,42.25,30,511.4718323,11.02,633.0841667,176.975,2449.891667,1711,214.3083333,35.25,83.5,0.924441667
1962,1.52,..,1.52,..,..,..,0.16,0.404773996,..,3.867224079,0.457966667,0.832591667,0.682203933,0.973,0.8610009,1.104601,0.9533996,251.2166667,..,..,274.34,216.2358333,..,100.54,227,89.00833333,22.7024392,48.65333333,44.70083333,134.9258333,..,..,..,..,64.3325,..,0.13139,0.108008333,0.714125,0.319561877,..,2.252386767,0.126324726,0.128419115,0.061683333,1404.9,..,36.39,..,160.0609688,..,0.649325,..,0.563633333,11.5,1.00E-10,51,42.25,30,498.0603917,11.01,645.1433333,155.2833333,2471.383333,1761,185.925,35.23,83.5,1.083725
1963,1.5,..,1.5,..,..,..,0.16,0.391351138,..,3.80341218,0.552341667,0.805741667,0.623507283,0.9529,0.8148008,1.083601,0.9603996,286.3333333,..,..,268.5033333,222.3933333,..,110.0933333,223.5833333,91.01666667,23.9774741,53.77083333,47.84,125.6633333,..,..,..,..,64.48666667,..,0.144083333,0.094008333,0.666341667,0.328028987,..,1.997018283,0.12676565,0.165897655,0.183233333,1343.61,..,35.48583333,..,157.8474619,..,0.645591667,..,0.521383333,11.5,1.00E-10,52,42.25,30,498.7952652,11.02,645.9508333,174.8083333,2507.733333,1741.666667,211.5083333,35.09,80.93083333,1.279108333
1964,1.45,..,1.45,..,..,..,0.15,0.384149802,..,3.6477435,0.505741667,1.009758333,0.787067942,0.927,0.8190008,1.039501,0.9225996,296.475,..,..,315.3758333,239.4525,..,110.5058333,233,89.00833333,25.14338332,54.63166667,48.235,120.1475,..,..,..,..,67.52666667,..,0.170408333,0.084,0.840883333,0.337631478,..,1.81329995,0.126581932,0.138707342,0.126325,1488.3,..,30.255,..,144.8339927,..,0.650358333,..,0.490508333,12.5,1.00E-10,53,60.5,32.5,525.9856313,10.24,969.7533333,277.8833333,3412.741667,1741.666667,326.4916667,35.1,88.48083333,1.293
1965,1.42,..,1.42,..,..,..,0.16,0.410766105,..,3.895710399,0.365308333,1.00035,0.678254075,1.0003,0.8463009,1.142401,1.0122,350.1333333,..,..,323.9175,272.5216667,..,116.8683333,270,97.025,24.34480217,55.6725,47.93166667,118.7891667,..,..,..,..,59.46166667,..,0.159408333,0.096,0.881616667,0.350239878,..,1.987832367,0.12456103,0.136135285,0.044216667,1265.41,..,35.025,..,156.7493131,..,0.637925,..,0.504858333,14,1.00E-10,54,65.75,29.5,540.1318359,10.66166667,1292.844167,317.175,3890.783333,1735,311.25,35.12,98.04166667,1.293
1966,1.36,..,1.36,..,..,..,0.16,0.424928665,..,3.963038817,0.517633333,0.928725,0.7391369,0.874325,0.7602008,0.948694842,0.9141996,323.7083333,..,..,296.305,235.64,..,125.6625,261.5,107.0358333,25.9117738,58.29666667,48.57583333,145.2025,..,..,..,..,62.95416667,..,0.153791667,0.084025,1.02235,0.363625162,..,2.314851,0.130954428,0.140911962,0.039808333,1581.22,..,36.825,..,161.0903184,..,0.6228,..,0.471558333,13,1.00E-10,50,59.25,27.5,540.1318359,9.52,1531.513333,260.65,3573.508333,1739,281.1083333,35.13,99.72083333,1.293
1967,1.33,..,1.33,..,..,..,0.16,0.456647376,..,4.113828694,0.598116667,0.864208333,0.739118533,0.836141667,0.718620733,0.7986667,0.9911996,326.3583333,..,..,282.9533333,223.4508333,..,114.725,216.8333333,98.89166667,26.25032412,54.1025,51.8975,189.3733333,..,..,..,..,65.71,..,0.158625,0.159008333,1.041133333,0.372153917,..,2.2928048,0.129411194,0.147158385,0.042058333,1299.43,..,39.32916667,..,166.8848362,..,0.676533333,..,0.390125,12,68.5,45,49.25,25.5,540.1318359,8.86,1134.7725,227.675,3308.025,1935.7,273.3333333,34.95,110.2483333,1.549183333
1968,1.32,..,1.32,..,..,..,0.16,0.451801877,..,4.090793326,0.720883333,0.867,0.746301775,0.7487,0.6770413,0.7333334,0.8357997,399.2666667,..,..,270.7341667,168.8308333,..,110.8008333,178.0833333,96.41666667,25.16388774,47.96333333,52.56666667,182.9133333,..,..,..,..,62.77166667,..,0.153083333,0.168008333,1.085208333,0.383899687,..,2.5794054,0.112215158,0.152853653,0.041933333,1204.469167,..,40.04833333,..,168.5341388,..,0.684516667,..,0.382116667,11.5,60.5,37.5,35.5,24,552.9920858,8.77,1241.9525,240.4916667,3126.883333,2074.5,262.8916667,38.925,117.2083333,2.144633333
1969,1.27,..,1.27,..,..,..,0.17,0.451819918,..,4.212312822,0.897716667,0.876725,0.729730775,0.7262,0.5964011,0.8626667,0.7195997,361.2666667,..,..,331.525,181.1141667,..,106.7466667,197.1666667,94.66666667,25.56748919,52.28666667,53.75833333,168.3708333,..,..,..,..,58.39416667,..,0.159508333,0.170033333,1.222866667,0.400687496,..,2.866006,0.112215158,0.157446612,0.070591667,1112.3825,..,38.89,..,165.9081117,..,0.626991667,..,0.5022,11.25,58,39.25,26.6,22,588.4498698,9.84,1467.34,289.8916667,3427.45,2363.4,286.4083333,41.08333333,124.1875,1.790666667
